location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated;stringency_index
Indonesia;5.201.429;173.714;0.96;0.1174;8634546.0;71.76
Indonesia;5.224.429;181.286;0.93;0.1194;8755256.0;71.76
Indonesia;5.317.571;189.714;0.91;0.1241;8870424.0;71.76
Indonesia;5.220.857;181.143;0.87;0.1272;8908265.0;71.76
Indonesia;4.906.714;174.286;0.84;0.1326;8919557.0;71.76
Indonesia;4379.0;165.714;0.83;0.1343;8921431.0;71.76
Indonesia;3844.0;160.714;0.85;0.1305;8954300.0;71.76
Indonesia;3.723.714;154.429;0.91;0.1281;8970715.0;71.76
Indonesia;3.638.571;155.286;0.97;0.1221;9066982.0;71.76
Indonesia;3.519.143;144.571;1.02;0.119;9247600.0;71.76
Indonesia;3.556.714;150.286;1.07;0.1124;9366635.0;71.76
Indonesia;3.892.286;167.286;1.11;0.1066;9536102.0;71.76
Indonesia;4337.0;178.571;1.13;0.0975;9711246.0;71.76
Indonesia;4.752.857;176.857;1.13;0.1006;9825499.0;71.76
Indonesia;5.067.143;176.429;1.14;0.0995;9871664.0;71.76
Indonesia;5.297.429;164.286;1.13;0.0991;9896982.0;71.76
Indonesia;5.422.429;164.286;1.12;0.0967;10125480.0;71.76
Indonesia;5.445.714;157.429;1.12;0.0964;10224833.0;71.76
Indonesia;5.514.429;145.714;1.12;0.096;10359996.0;71.76
Indonesia;5531.0;146.714;1.12;0.096;10486399.0;71.76
Indonesia;5.712.286;151.0;1.12;0.0922;10554796.0;71.76
Indonesia;5.831.571;153.714;1.1;0.0945;10584489.0;71.76
Indonesia;5.796.571;160.429;1.08;0.0941;10631835.0;71.76
Indonesia;5.762.857;156.571;1.07;0.0959;10714300.0;71.76
Indonesia;5.793.143;162.429;1.07;0.0979;10852984.0;71.76
Indonesia;5661.0;169.714;1.08;0.0966;10984900.0;71.76
Indonesia;5.750.143;170.857;1.1;0.1;11055554.0;71.76
